钱九,510101199704047777,成都,重庆
张三,11010119900101001X,北京,上海
王五,440101198807073333,广州,深圳
孙七,210101199303033210,沈阳,大连
吴十,330101199606065555,杭州,宁波
赵六,120101199512126666,天津,北京
周八,310101199811118888,上海,苏州
李四,320101199202021234,南京,杭州
王五,440101198807073333,广州,深圳
张三,11010119900101001X,北京,上海
钱九,510101199704047777,成都,重庆
孙七,210101199303033210,沈阳,大连
赵六,120101199512126666,天津,北京
周八,310101199811118888,上海,苏州
吴十,330101199606065555,杭州,宁波
李四,320101199202021234,南京,杭州
李四,320101199202021234,南京,杭州
王五,440101198807073333,广州,深圳
赵六,120101199512126666,天津,北京
张三,11010119900101001X,北京,上海
